"VerseID","BookName","BookNumber",Chapter,Verse,Text
42,創世記,1,2,11,第一道名叫比遜，就是環繞哈腓拉全地的。在那裏有金子，
43,創世記,1,2,12,並且那地的金子是好的；在那裏又有樹膠和紅瑪瑙。
44,創世記,1,2,13,第二道河名叫基訓，就是環繞埃塞俄比亞全地的。
45,創世記,1,2,14,第三道河名叫希底結，流在亞述的東邊。第四道河就是幼發拉底河。
46,創世記,1,2,15,耶和華上帝將那人安置在伊甸園，使他修理，看守。
47,創世記,1,2,16,耶和華上帝吩咐他說：「園中各樣樹上的果子，你可以隨意吃，
48,創世記,1,2,17,只是分別善惡樹上的果子，你不可吃；因為在你吃的日子，你必定死。」
49,創世記,1,2,18,耶和華上帝說：「那人獨居不好，我要為他造一個合適的配偶幫助他。」
50,創世記,1,2,19,耶和華上帝用土所造成的野地各樣走獸和空中各樣飛鳥都帶到亞當面前，看他叫甚麼。亞當怎樣叫各樣活的造物，那就是牠的名字。
51,創世記,1,2,20,亞當便給一切牲畜和空中飛鳥、野地走獸都起了名；只是那人沒有遇見合適的配偶幫助他。
52,創世記,1,2,21,耶和華上帝使亞當沈睡，他就睡了；於是取下他的一條肋骨，又把肉合起來。
53,創世記,1,2,22,耶和華上帝就用那人身上所取的肋骨造成一個女人，領她到那人跟前。
54,創世記,1,2,23,亞當說：這是我骨中的骨，肉中的肉，可以稱她為「女人」，因為她是從「男人」身上取出來的。
55,創世記,1,2,24,因此，人要離開父母，與妻子連合，二人成為一體。
56,創世記,1,2,25,當時夫妻二人赤身露體，並不羞恥。
57,創世記,1,3,1,耶和華上帝所造的，唯有蛇比田野一切的活物更狡猾。蛇對女人說：「上帝豈是真說不許你們吃園中所有樹上的果子嗎？」
58,創世記,1,3,2,女人對蛇說：「園中樹上的果子，我們可以吃，
59,創世記,1,3,3,唯有園當中那棵樹上的果子，上帝曾說：『你們不可吃，也不可摸，免得你們死。』」
60,創世記,1,3,4,蛇對女人說：「你們不一定死；
61,創世記,1,3,5,因為上帝知道，你們吃的日子眼睛就開了，你們便如眾神一樣，能知道善惡。」
62,創世記,1,3,6,於是女人見那棵樹的果子好作食物，也悅人的眼目，且是可喜愛的，能使人有智慧，就摘下果子來吃了，又給同她一起的丈夫，她丈夫也吃了。
63,創世記,1,3,7,他們二人的眼睛就開了，才知道自己是赤身露體；他們便拿無花果樹的葉子編在一起，為自己編作裙子。
64,創世記,1,3,8,天起了涼風，耶和華上帝在園中行走。亞當和他妻子聽見上帝的聲音，就藏在園裏的樹木中，躲避耶和華上帝的面。
65,創世記,1,3,9,耶和華上帝呼喚亞當，對他說：「你在哪裏？」
66,創世記,1,3,10,他說：「我在園中聽見你的聲音，我就害怕；因為我赤身露體，我便藏了。」
67,創世記,1,3,11,耶和華說：「誰告訴你赤身露體呢？莫非你吃了我吩咐你不可吃的那樹上的果子嗎？」
68,創世記,1,3,12,那人說：「你所賜給我、與我同居的女人，她把那樹上的果子給我，我就吃了。」
69,創世記,1,3,13,耶和華上帝對女人說：「你所作的是甚麼事呢？」女人說：「那蛇誘騙我，我就吃了。」
70,創世記,1,3,14,耶和華上帝對蛇說：你既作了這事，就必受咒詛，比一切田野的牲畜野獸更甚。你必用肚子行走，終身吃土。
71,創世記,1,3,15,我又要叫你和女人彼此為仇；你的後裔和女人的後裔也彼此為仇。女人的後裔要傷你的頭；你要傷他的腳跟。
72,創世記,1,3,16,又對女人說：我必多多加增你懷胎的苦楚；你生產兒女必多受苦楚。你必戀慕你丈夫；你丈夫必管轄你。
73,創世記,1,3,17,又對亞當說：你既聽從你妻子的話，吃了我所吩咐你說『你不可吃』的那樹上的果子，地必為你的緣故受咒詛；你必終身勞苦才能從地裏得吃的。
74,創世記,1,3,18,地必給你長出蒺藜和薊來；你也要吃田間的菜蔬。
75,創世記,1,3,19,你必汗流滿面才得糊口，直到你歸了地，因為你是從它而出的。你本是塵土，仍要歸於塵土。
76,創世記,1,3,20,亞當給他妻子起名叫夏娃，因為她是眾生之母。
77,創世記,1,3,21,耶和華上帝為亞當和他妻子用皮子作衣服給他們穿。
78,創世記,1,3,22,耶和華上帝說：「看哪，那人已經與我們中的一位相似，能知道善惡；現在恐怕他伸手又摘生命樹的果子吃，就永遠活著！」
79,創世記,1,3,23,耶和華上帝便打發他出伊甸園去，耕種他被取所出之土。
80,創世記,1,3,24,於是把他趕出去了；又在伊甸園的東邊安設基路伯和四面轉動發火燄的劍，要把守生命樹的道路。
81,創世記,1,4,1,有一日，亞當和他妻子夏娃同房；夏娃就懷孕，生了該隱，便說：「我從耶和華得了一個男子。」
82,創世記,1,4,2,又生了該隱的兄弟亞伯。亞伯是牧羊的；該隱是種地的。
83,創世記,1,4,3,過了些日子，該隱拿地裏的出產為供物獻給耶和華。
84,創世記,1,4,4,亞伯也將他羊群中頭生的和羊的脂油獻上。耶和華看中了亞伯和他的供物，
85,創世記,1,4,5,只是看不中該隱和他的供物。該隱就大大的發怒，沈了臉色。
86,創世記,1,4,6,耶和華對該隱說：「你為甚麼發怒呢？你為甚麼沈了臉色呢？
87,創世記,1,4,7,你若行得好，豈不蒙悅納？你若行得不好，罪就伏在門前。它必戀慕你，你卻要制伏它。」
88,創世記,1,4,8,該隱與他兄弟亞伯說話；二人正在田間。該隱起來打他兄弟亞伯，把他殺了。
89,創世記,1,4,9,耶和華對該隱說：「你兄弟亞伯在哪裏？」他說：「我不知道！我豈是看守我兄弟的嗎？」
90,創世記,1,4,10,耶和華說：「你作了甚麼事呢？你兄弟的血有聲音從地面向我哀告。
91,創世記,1,4,11,地開了口，從你手裏接受你兄弟的血。現在你必從這地受咒詛。
92,創世記,1,4,12,你種地，地不再給你效力；你必流離飄蕩在地上。」
93,創世記,1,4,13,該隱對耶和華說：「我的刑罰太重，過於我所能當的。
94,創世記,1,4,14,看哪，你今日趕逐我離開大地；我必不見你面；我也必流離飄蕩在地上；以致凡遇見我的必殺我。」
95,創世記,1,4,15,耶和華對他說：「故此凡殺該隱的，必遭報七倍。」耶和華就給該隱立一個記號，免得人遇見他就殺他。
96,創世記,1,4,16,於是該隱離開耶和華的面，去住在伊甸東邊挪得之地。
97,創世記,1,4,17,該隱與他妻子同房；她就懷孕，生了以諾。該隱建造了一座城，就按著他兒子的名，將那城叫作以諾。
98,創世記,1,4,18,以諾生以拿；以拿生米戶雅利；米戶雅利生瑪土撒利；瑪土撒利生拉麥。
99,創世記,1,4,19,拉麥娶了兩個妻：一個名叫亞大，一個名叫洗拉。
100,創世記,1,4,20,亞大生雅八；雅八就是住帳棚、牧養牲畜之人的祖師。
101,創世記,1,4,21,雅八的兄弟名叫猶八；他是一切彈弦琴風琴之人的祖師。
102,創世記,1,4,22,洗拉又生了土八‧該隱；他是銅匠鐵匠的祖師。土八‧該隱的妹子是拿瑪。
103,創世記,1,4,23,拉麥對他兩個妻子說：亞大、洗拉，聽我的聲音；拉麥的妻子，細聽我的話語。我殺了壯年人卻傷自己，害了少年人卻損本身。
104,創世記,1,4,24,若殺該隱，遭報七倍，殺拉麥，必遭報七十七倍。
105,創世記,1,4,25,亞當又與他妻子同房；她就生了一個兒子，起名叫塞特。她說：「因為上帝另給我立了一個兒子代替亞伯，就是該隱所殺的。」
106,創世記,1,4,26,塞特也生了一個兒子；起名叫以挪士。那時候，人開始求告耶和華的名。
107,創世記,1,5,1,亞當後代的家譜記在下面。當上帝創造人的日子，是照著上帝的樣式造的；
108,創世記,1,5,2,他創造男女，並且賜福給他們。又在他們被造的日子，稱他們為「亞當」。
109,創世記,1,5,3,亞當活到一百三十歲，生了一個兒子，形像樣式和自己相似，就給他起名叫塞特。
110,創世記,1,5,4,亞當生下塞特之後，又在世八百年；並且他生兒養女；
111,創世記,1,5,5,亞當共活了九百三十歲就死了。
112,創世記,1,5,6,塞特活到一百零五歲，生了以挪士；
113,創世記,1,5,7,塞特生以挪士之後，又活了八百零七年，並且生兒養女；
114,創世記,1,5,8,塞特共活了九百一十二歲就死了。
115,創世記,1,5,9,以挪士活到九十歲，生了該南；
116,創世記,1,5,10,以挪士生該南之後，又活了八百一十五年，並且生兒養女；
117,創世記,1,5,11,以挪士共活了九百零五歲就死了。
118,創世記,1,5,12,該南活到七十歲，生了瑪勒列。
119,創世記,1,5,13,該南生瑪勒列之後，又活了八百四十年，並且生兒養女。
120,創世記,1,5,14,該南共活了九百一十歲就死了。
121,創世記,1,5,15,瑪勒列活到六十五歲，生了雅列。
122,創世記,1,5,16,瑪勒列生雅列之後，又活了八百三十年，並且生兒養女。
123,創世記,1,5,17,瑪勒列共活了八百九十五歲就死了。
124,創世記,1,5,18,雅列活到一百六十二歲，生了以諾。
125,創世記,1,5,19,雅列生以諾之後，又活了八百年，並且生兒養女。
126,創世記,1,5,20,雅列共活了九百六十二歲就死了。
127,創世記,1,5,21,以諾活到六十五歲，生了瑪土撒拉。
128,創世記,1,5,22,以諾生瑪土撒拉之後，與上帝同行三百年，並且生兒養女。
129,創世記,1,5,23,以諾共活了三百六十五歲。
130,創世記,1,5,24,以諾與上帝同行，上帝將他取去，他就不在世了。
131,創世記,1,5,25,瑪土撒拉活到一百八十七歲，生了拉麥。
132,創世記,1,5,26,瑪土撒拉生拉麥之後，又活了七百八十二年，並且生兒養女。
133,創世記,1,5,27,瑪土撒拉共活了九百六十九歲就死了。
134,創世記,1,5,28,拉麥活到一百八十二歲，生了一個兒子，
135,創世記,1,5,29,給他起名叫挪亞，說：「這個兒子必為我們的操作和手中的勞苦安慰我們；這操作勞苦是因為耶和華咒詛地。」
136,創世記,1,5,30,拉麥生挪亞之後，又活了五百九十五年，並且生兒養女。
137,創世記,1,5,31,拉麥共活了七百七十七歲就死了。
138,創世記,1,5,32,挪亞五百歲生了閃、含、雅弗。
139,創世記,1,6,1,當人在世上多起來、又生女兒的時候，
140,創世記,1,6,2,上帝的兒子們看見人的女子美貌，就隨意挑選，娶來為妻。
141,創世記,1,6,3,耶和華說：「人既屬乎血氣，我的靈就不常與人相爭；然而他的日子還可到一百二十年。」
142,創世記,1,6,4,那時候有巨人在地上，後來上帝的兒子們和人的女子們交合生子；那就是上古有名的大力者。
143,創世記,1,6,5,耶和華見人在地上罪惡很大，終日所思想的盡都是惡，
144,創世記,1,6,6,耶和華就後悔造人在地上，心中憂傷。
145,創世記,1,6,7,耶和華說：「我要將所創造的人和走獸，並昆蟲，以及空中的飛鳥，都從地上除滅，因為我造他們後悔了。」
146,創世記,1,6,8,唯有挪亞在耶和華眼前蒙恩。
147,創世記,1,6,9,挪亞的後代記在下面。挪亞是個義人，在當時的世代是個完全人。挪亞與上帝同行。
148,創世記,1,6,10,挪亞生了三個兒子，就是閃、含、雅弗。
149,創世記,1,6,11,世界在上帝面前敗壞，地上滿了強暴。
150,創世記,1,6,12,上帝觀看世界，見是敗壞了；凡有血氣的人在地上都敗壞了行為。
151,創世記,1,6,13,上帝就對挪亞說：「凡有血氣的人，他的盡頭已經來到我面前；因為地上滿了他們的強暴，看哪！我要把他們和地一併毀滅。
152,創世記,1,6,14,你要用歌斐木造一隻方舟，分一間一間地造，裏外抹上松香。
153,創世記,1,6,15,方舟的造法乃是這樣：要長三百肘，寬五十肘，高三十肘。
154,創世記,1,6,16,方舟上邊你要造一個窗戶，高一肘。方舟的門要開在旁邊。方舟要分上、中、下三層。
155,創世記,1,6,17,看哪，我要使洪水氾濫在地上，毀滅天下；凡地上有血肉、有氣息的活物，無一不死。
156,創世記,1,6,18,我卻要與你立約；你同你的妻，與兒子兒婦，都要進入方舟。
157,創世記,1,6,19,凡有血肉的活物，每樣兩個，一公一母，你要帶進方舟，好在你那裏保全生命。
158,創世記,1,6,20,飛鳥各從其類，牲畜各從其類，地上的昆蟲各從其類，每樣兩個，要到你那裏，好保全生命。
159,創世記,1,6,21,你要拿各樣食物積蓄起來，好作你和牠們的食物。」
160,創世記,1,6,22,挪亞就這樣行。凡上帝所吩咐的，他都照樣行了。
161,創世記,1,7,1,耶和華對挪亞說：「你和你的全家都要進入方舟；因為在這世代中，我見你在我面前是義人。
162,創世記,1,7,2,凡潔淨的禽獸，你要帶七公七母；不潔淨的禽獸，你要帶一公一母。
163,創世記,1,7,3,空中的飛鳥也要帶七公七母，可以留種，活在全地上；
164,創世記,1,7,4,因為再過七天，我要降雨在地上四十晝夜，把我所造的各種活物都從地上除滅。」
165,創世記,1,7,5,挪亞就遵著耶和華所吩咐的行了。
166,創世記,1,7,6,當洪水氾濫在地上的時候，挪亞整六百歲。
167,創世記,1,7,7,挪亞就同他的妻和兒子兒婦都進入方舟，躲避洪水。
168,創世記,1,7,8,潔淨的禽獸和不潔淨的禽獸，飛鳥並地上一切的昆蟲，
169,創世記,1,7,9,都是一對一對的，有公有母，到挪亞那裏進入方舟，正如上帝所吩咐挪亞的。
170,創世記,1,7,10,過了那七天，洪水氾濫在地上。
171,創世記,1,7,11,當挪亞六百歲，二月十七日那一天，大淵的泉源都裂開了，天上的窗戶也敞開了，
172,創世記,1,7,12,四十晝夜降大雨在地上。
173,創世記,1,7,13,正當那日，挪亞和他三個兒子閃、含、雅弗，並挪亞的妻子和三個兒婦，都進入方舟。
174,創世記,1,7,14,他們和百獸，各從其類，一切牲畜，各從其類，爬在地上的昆蟲，各從其類，一切禽鳥，各從其類，都進入方舟。
175,創世記,1,7,15,凡有血肉、有氣息的活物，都一對一對地到挪亞那裏，進入方舟。
176,創世記,1,7,16,凡有血肉進入方舟的，都是有公有母，正如上帝所吩咐挪亞的。耶和華就把他關在方舟裏頭。
177,創世記,1,7,17,洪水氾濫在地上四十天，水往上漲，把方舟從地上漂起。
178,創世記,1,7,18,水勢浩大，在地上大大地往上漲，方舟在水面上漂來漂去。
179,創世記,1,7,19,水勢在地上極其浩大，天下的高山都淹沒了。
180,創世記,1,7,20,水勢比山高過十五肘，山嶺都淹沒了。
181,創世記,1,7,21,凡在地上有血肉的動物，就是飛鳥、牲畜、走獸，和爬在地上的昆蟲，以及所有的人，都死了。
182,創世記,1,7,22,凡在旱地上、鼻孔有氣息的生命都死了。
183,創世記,1,7,23,凡地面上各類的活物，連人帶牲畜、昆蟲，以及空中的飛鳥，都從地上除滅了，只留下挪亞和那些與他同在方舟裏的存活。
184,創世記,1,7,24,水勢浩大，在地上共一百五十天。
185,創世記,1,8,1,上帝記念挪亞和挪亞方舟裏的一切走獸牲畜。上帝叫風吹地，水勢漸落。
186,創世記,1,8,2,淵源和天上的窗戶都閉塞了，天上的大雨也止住了。
187,創世記,1,8,3,水從地上漸退。過了一百五十天，水就漸消。
188,創世記,1,8,4,七月十七日，方舟停在亞拉臘山上。
189,創世記,1,8,5,水又漸消，到十月初一日，山頂都現出來了。
190,創世記,1,8,6,過了四十天，挪亞開了方舟的窗戶，
191,創世記,1,8,7,放出一隻烏鴉去；那烏鴉飛來飛去，直到地上的水都乾了。
192,創世記,1,8,8,他又放出一隻鴿子去，要看看水從地上退了沒有。
193,創世記,1,8,9,但遍地上都是水，鴿子找不著讓牠腳掌安歇之地，就回到方舟挪亞那裏。挪亞伸手，把鴿子接進方舟來。
194,創世記,1,8,10,他又等了七天，再把鴿子從方舟放出去。
195,創世記,1,8,11,到了晚上，鴿子回到他那裏，看哪，牠嘴裏叼著一個新擰下來的橄欖葉子，挪亞就知道地上的水退了。
196,創世記,1,8,12,他又等了七天，放出鴿子去，鴿子就不再回來了。
197,創世記,1,8,13,到挪亞六百零一歲，正月初一日，地上的水都乾了。挪亞撤去方舟的蓋觀看，便見地面上乾了。
198,創世記,1,8,14,到了二月二十七日，地就都乾了。
199,創世記,1,8,15,上帝對挪亞說：
200,創世記,1,8,16,「你和你的妻子、兒子、兒婦都可以出方舟。
201,創世記,1,8,17,在你那裏凡有血肉的活物，就是飛鳥、牲畜，和一切爬在地上的昆蟲，都要帶出來，叫牠在地上多多滋生，大大興旺。」
202,創世記,1,8,18,於是挪亞和他的妻子、兒子、兒婦都出來了。
203,創世記,1,8,19,一切走獸、昆蟲、飛鳥，和地上所有的動物，各從其類，也都出了方舟。
204,創世記,1,8,20,挪亞為耶和華築了一座壇，拿各類潔淨的牲畜、飛鳥獻在壇上為燔祭。
205,創世記,1,8,21,耶和華聞那馨香之氣，耶和華就心裏說：「我不再因人的緣故咒詛地；人從小時心裏原是懷著惡念；我也不再按著我才行的，滅各種的活物了。
206,創世記,1,8,22,地還存留的時候，稼穡、寒暑、冬夏、晝夜就永不停息了。」
207,創世記,1,9,1,上帝賜福給挪亞和他的兒子，對他們說：「你們要生養眾多，遍滿了地。
208,創世記,1,9,2,凡地上的走獸和空中的飛鳥都必驚恐，懼怕你們，連地上一切行走的並海裏一切的魚都交付你們的手。
209,創世記,1,9,3,凡活著的動物都可以作你們的食物。這一切我都賜給你們，如同菜蔬一樣。
210,創世記,1,9,4,唯獨肉帶著血，那就是牠的生命，你們不可吃。
211,創世記,1,9,5,流你們血、害你們命的，無論是獸是人，我必討他的罪，就是向各人的兄弟也是如此。
212,創世記,1,9,6,凡流人血的，他的血也必被人所流，因為上帝造人是照自己的形像造的。
213,創世記,1,9,7,你們要生養眾多，在地上昌盛繁茂。」
214,創世記,1,9,8,上帝曉諭挪亞和他的兒子說：
215,創世記,1,9,9,「看哪，我與你們和你們的後裔立約，
216,創世記,1,9,10,並與你們這裏的一切活的造物─就是飛鳥、牲畜、走獸，凡從方舟裏出來的活物─立約。
217,創世記,1,9,11,我與你們立約，凡有血肉的，不再被洪水剪滅，也不再有洪水毀壞地了。」
218,創世記,1,9,12,上帝說：「我與你們並你們這裏的各樣活的造物所立世世代代的永約是有記號的。
219,創世記,1,9,13,我把虹放在雲彩中，這就可作我與地立約的記號了。
220,創世記,1,9,14,我使雲彩蓋地的時候，必有虹現在雲彩中，
221,創世記,1,9,15,我便記念我與你們和各樣有血肉的，活的造物所立的約，水就再不氾濫、毀壞一切有血肉的物了。
222,創世記,1,9,16,虹必現在雲彩中，我看見，就要記念上帝與地上各樣有血肉活的造物所立的永約。」
223,創世記,1,9,17,上帝對挪亞說：「這就是我與地上一切有血肉之物立約的記號了。」
224,創世記,1,9,18,出方舟挪亞的兒子就是閃、含、雅弗。含是迦南的父親。
225,創世記,1,9,19,這是挪亞的三個兒子，他們的後裔分散在全地。
226,創世記,1,9,20,挪亞作起農夫來，栽了一個葡萄園。
227,創世記,1,9,21,他喝了園中的酒便醉了，在帳棚裏赤著身子。
228,創世記,1,9,22,迦南的父親含看見他父親赤身，就到外邊告訴他兩個弟兄。
229,創世記,1,9,23,於是閃和雅弗拿件衣服搭在肩上，倒退著進去，給他父親蓋上；他們背著臉就看不見父親的赤身。
230,創世記,1,9,24,挪亞醒了酒，知道小兒子向他所作的事，
231,創世記,1,9,25,就說：迦南當受咒詛，必給他弟兄作僕人的僕人；
232,創世記,1,9,26,又說：耶和華─閃的上帝是應當稱頌的！願迦南作閃的僕人。
233,創世記,1,9,27,願上帝使雅弗擴張，使他住在閃的帳棚裏；又願迦南作他的僕人。
234,創世記,1,9,28,洪水以後，挪亞又活了三百五十年。
235,創世記,1,9,29,挪亞共活了九百五十歲就死了。
236,創世記,1,10,1,挪亞的兒子閃、含、雅弗的後代記在下面。洪水以後，他們都生了兒子。
237,創世記,1,10,2,雅弗的兒子是歌篾、瑪各、瑪代、雅完、土巴、米設、提拉。
238,創世記,1,10,3,歌篾的兒子是亞實基拿、利法、陀迦瑪。
239,創世記,1,10,4,雅完的兒子是以利沙、他施、基提、多單。
240,創世記,1,10,5,這些人的後裔將外邦人的地土、海島分開居住；各隨各的方言、宗族立國。
241,創世記,1,10,6,含的兒子是古實、麥西、弗、迦南。
242,創世記,1,10,7,古實的兒子是西巴、哈腓拉、撒弗他、拉瑪、撒弗提迦。拉瑪的兒子是示巴、底但。
243,創世記,1,10,8,古實又生寧錄，他在世上成了勇士。
244,創世記,1,10,9,他在耶和華面前是個英勇的獵戶，所以俗語說：「像寧錄在耶和華面前是個英勇的獵戶。」
245,創世記,1,10,10,他囯的起頭是巴別、以力、亞甲、甲尼，都在示拿地。
246,創世記,1,10,11,他從那地出來往亞述去，建造尼尼微、利河伯、迦拉，
247,創世記,1,10,12,和尼尼微、迦拉中間的利鮮，這就是那大城。
248,創世記,1,10,13,麥西生路低人、亞拿米人、利哈比人、拿弗土希人、
249,創世記,1,10,14,帕斯魯細人、迦斯路希人、從迦斯路希人出來的非利士人、迦斐託人。
250,創世記,1,10,15,迦南生長子西頓，又生赫
251,創世記,1,10,16,和耶布斯人、亞摩利人、革迦撒人、
252,創世記,1,10,17,希未人、亞基人、西尼人、
253,創世記,1,10,18,亞瓦底人、洗瑪利人、哈馬人，後來迦南的諸族分散了。
254,創世記,1,10,19,迦南的境界是從西頓向基拉耳的路上，直到迦薩，又向所多瑪、蛾摩拉、押瑪、洗扁的路上，直到拉沙。
255,創世記,1,10,20,這就是含的後裔，各隨他們的宗族、方言，所住的地土、邦國。
256,創世記,1,10,21,長兄雅弗的兄弟閃，是希伯子孫之祖，他也生了孩子。
257,創世記,1,10,22,閃的兒子是以攔、亞述、亞法撒、路德、亞蘭。
258,創世記,1,10,23,亞蘭的兒子是烏斯、戶勒、基帖、瑪施。
259,創世記,1,10,24,亞法撒生沙拉；沙拉生希伯。
260,創世記,1,10,25,希伯生了兩個兒子，一個名叫法勒，在他那時地已被分開；法勒的兄弟名叫約坍。
261,創世記,1,10,26,約坍生亞摩答、沙列、哈薩瑪非、耶拉、
262,創世記,1,10,27,哈多蘭、烏薩、德拉、
263,創世記,1,10,28,俄巴路、亞比瑪利、示巴、
264,創世記,1,10,29,阿斐、哈腓拉、約巴，這都是約坍的兒子。
265,創世記,1,10,30,他們所住的地方是從米沙直到西發東邊的山。
266,創世記,1,10,31,這就是閃的子孫，各隨他們的宗族、方言，所住的地土、邦國。
267,創世記,1,10,32,這些都是挪亞三個兒子的宗族，各隨他們的支派立國。洪水以後，他們在地上分為邦國。
268,創世記,1,11,1,那時，遍地人的口音、言語都是一樣。
269,創世記,1,11,2,他們從東邊遷移的時候，在示拿地遇見一片平原，就住在那裏。
270,創世記,1,11,3,他們彼此商量說：「來吧！我們要作磚，把磚燒透了。」他們就拿磚當石頭，又拿滑土當灰泥。
271,創世記,1,11,4,他們說：「來吧！我們要建造一座城和一座塔，塔頂通天，為要傳揚我們的名，免得我們分散在全地上。」
272,創世記,1,11,5,耶和華降臨，要看看世人所建造的城和塔。
273,創世記,1,11,6,耶和華說：「看哪，人民成為一樣，他們都是一樣的言語，如今既作起這事來，以後他們想作的事就沒有被攔阻的了。
274,創世記,1,11,7,我們下去，在那裏變亂他們的口音，使他們的言語彼此不通。」
275,創世記,1,11,8,於是耶和華使他們從那裏分散在全地上；他們就停工，不造那城了。
276,創世記,1,11,9,因為耶和華在那裏變亂遍地人的言語，耶和華使眾人分散在全地上，所以那城名叫巴別。
277,創世記,1,11,10,閃的後代記在下面。洪水以後二年，閃一百歲生了亞法撒。
278,創世記,1,11,11,閃生亞法撒之後又活了五百年，並且生兒養女。
279,創世記,1,11,12,亞法撒活到三十五歲，生了沙拉。
280,創世記,1,11,13,亞法撒生沙拉之後又活了四百零三年，並且生兒養女。
281,創世記,1,11,14,沙拉活到三十歲，生了希伯。
282,創世記,1,11,15,沙拉生希伯之後又活了四百零三年，並且生兒養女。
283,創世記,1,11,16,希伯活到三十四歲，生了法勒。
284,創世記,1,11,17,希伯生法勒之後又活了四百三十年，並且生兒養女。
285,創世記,1,11,18,法勒活到三十歲，生了拉吳。
286,創世記,1,11,19,法勒生拉吳之後又活了二百零九年，並且生兒養女。
287,創世記,1,11,20,拉吳活到三十二歲，生了西鹿。
